,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-03 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-03 00:30:00,0.0,0.0,20.855612648221342,15.0,15.0,,0.0,0.0
2022-01-03 01:00:00,0.0,0.0,20.713530284803696,15.0,15.0,,0.0,0.0
2022-01-03 01:30:00,0.0,0.0,20.569575380240806,15.0,15.0,,0.0,0.0
2022-01-03 02:00:00,5952.734623516953,0.0,20.41902705557392,15.0,15.0,,1700.781321004844,0.0
2022-01-03 02:30:00,7000.0,0.0,20.61987266105231,15.0,15.0,,2000.0,0.0
2022-01-03 03:00:00,7000.0,0.0,20.882799072186074,15.0,15.0,,2000.0,0.0
2022-01-03 03:30:00,7000.0,0.0,21.14470264050007,15.0,15.0,,2000.0,0.0
2022-01-03 04:00:00,7000.0,0.0,21.40527928903169,15.0,15.0,,2000.0,0.0
2022-01-03 04:30:00,7000.0,0.0,21.663438032640006,15.0,15.0,,2000.0,0.0
2022-01-03 05:00:00,7000.0,0.0,21.917942720000003,15.0,15.0,,2000.0,0.0
2022-01-03 05:30:00,0.0,0.0,22.168560000000003,15.0,15.0,,0.0,0.0
2022-01-03 06:00:00,0.0,0.0,22.0,21.0,20.0,22.0,0.0,0.0
2022-01-03 06:30:00,0.0,0.0,21.831422924901187,21.0,20.0,22.0,0.0,0.0
2022-01-03 07:00:00,0.0,0.0,21.661880360574298,21.0,20.0,22.0,0.0,0.0
2022-01-03 07:30:00,0.0,0.0,21.493597194243378,21.0,20.0,22.0,0.0,0.0
2022-01-03 08:00:00,0.0,0.0,21.329088136604128,21.0,20.0,22.0,0.0,0.0
2022-01-03 08:30:00,0.0,0.0,21.166925036170085,21.0,20.0,22.0,0.0,0.0
2022-01-03 09:00:00,0.0,0.0,21.005499047598896,21.0,20.0,22.0,0.0,0.0
2022-01-03 09:30:00,0.0,0.0,20.845078110275587,21.0,20.0,22.0,0.0,0.0
2022-01-03 10:00:00,0.0,0.0,20.688930939007495,15.0,15.0,,0.0,0.0
2022-01-03 10:30:00,0.0,0.0,20.537283536568673,15.0,15.0,,0.0,0.0
2022-01-03 11:00:00,0.0,0.0,20.389805866174576,15.0,15.0,,0.0,0.0
2022-01-03 11:30:00,0.0,0.0,20.2392548084729,15.0,15.0,,0.0,0.0
2022-01-03 12:00:00,0.0,0.0,20.078334790981128,15.0,15.0,,0.0,0.0
2022-01-03 12:30:00,699.7979320255979,0.0,19.91297904247147,15.0,15.0,,199.94226629302798,0.0
2022-01-03 13:00:00,7000.0,0.0,19.787813160467397,15.0,15.0,,2000.0,0.0
2022-01-03 13:30:00,7000.0,0.0,20.033846996509283,15.0,15.0,,2000.0,0.0
2022-01-03 14:00:00,7000.0,0.0,20.276074107222612,15.0,15.0,,2000.0,0.0
2022-01-03 14:30:00,7000.0,0.0,20.51619971069428,15.0,15.0,,2000.0,0.0
2022-01-03 15:00:00,7000.0,0.0,20.750513548116878,15.0,15.0,,2000.0,0.0
2022-01-03 15:30:00,7000.0,0.0,20.97908453371233,15.0,15.0,,2000.0,0.0
2022-01-03 16:00:00,7000.0,0.0,21.197237681533927,15.0,15.0,,2000.0,0.0
2022-01-03 16:30:00,7000.0,0.0,21.404266483729174,15.0,15.0,,2000.0,0.0
2022-01-03 17:00:00,0.0,0.0,21.604393758625665,21.0,20.0,22.0,0.0,0.0
2022-01-03 17:30:00,0.0,0.0,21.38378829903722,21.0,20.0,22.0,0.0,0.0
2022-01-03 18:00:00,0.0,0.0,21.165798714463655,21.0,20.0,22.0,0.0,0.0
2022-01-03 18:30:00,0.0,0.0,20.944583709944325,21.0,20.0,22.0,0.0,0.0
2022-01-03 19:00:00,0.0,0.0,20.713541215360003,21.0,20.0,22.0,0.0,0.0
2022-01-03 19:30:00,0.0,0.0,20.476661280000002,21.0,20.0,22.0,0.0,0.0
2022-01-03 20:00:00,0.0,0.0,20.23844,21.0,20.0,22.0,0.0,0.0
2022-01-03 20:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0
2022-01-03 21:00:00,7000.0,0.0,19.762608695652172,15.0,15.0,,2000.0,0.0
2022-01-03 21:30:00,7000.0,0.0,19.942380134039695,15.0,15.0,,2000.0,0.0
2022-01-03 22:00:00,7000.0,0.0,20.12061278066768,15.0,15.0,,2000.0,0.0
2022-01-03 22:30:00,7000.0,0.0,20.297878241766483,15.0,15.0,,2000.0,0.0
2022-01-03 23:00:00,7000.0,0.0,20.47482039700245,15.0,15.0,,2000.0,0.0
2022-01-03 23:30:00,7000.0,0.0,20.650336360674356,15.0,15.0,,2000.0,0.0
2022-01-04 00:00:00,0.0,0.0,20.823178222010235,15.0,15.0,,0.0,0.0
