,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-01 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-01 00:30:00,0.0,0.0,20.886166007905135,15.0,15.0,,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,20.773681825993215,15.0,15.0,,0.0,0.0
2022-01-01 01:30:00,0.0,0.0,20.663361488135585,15.0,15.0,,0.0,0.0
2022-01-01 02:00:00,0.0,0.0,20.556127952703147,15.0,15.0,,0.0,0.0
2022-01-01 02:30:00,0.0,0.0,20.455264775398366,15.0,15.0,,0.0,0.0
2022-01-01 03:00:00,0.0,0.0,20.36449088478099,15.0,15.0,,0.0,0.0
2022-01-01 03:30:00,0.0,0.0,20.278983087728253,15.0,15.0,,0.0,0.0
2022-01-01 04:00:00,0.0,0.0,20.19330344637179,15.0,15.0,,0.0,0.0
2022-01-01 04:30:00,4133.115327138169,0.0,20.10911407744248,15.0,15.0,,1180.8900934680482,0.0
2022-01-01 05:00:00,7000.0,0.0,20.273340906196413,15.0,15.0,,2000.0,0.0
2022-01-01 05:30:00,0.0,0.0,20.60796532232847,15.0,15.0,,0.0,0.0
2022-01-01 06:00:00,0.0,0.0,20.5259736386645,21.0,20.0,22.0,0.0,0.0
2022-01-01 06:30:00,0.0,0.0,20.447049050063736,21.0,20.0,22.0,0.0,0.0
2022-01-01 07:00:00,0.0,0.0,20.370838982276418,21.0,20.0,22.0,0.0,0.0
2022-01-01 07:30:00,0.0,0.0,20.296204527941125,21.0,20.0,22.0,0.0,0.0
2022-01-01 08:00:00,0.0,0.0,20.221862181760002,21.0,20.0,22.0,0.0,0.0
2022-01-01 08:30:00,0.0,0.0,20.147808480000002,21.0,20.0,22.0,0.0,0.0
2022-01-01 09:00:00,0.0,0.0,20.074040000000004,21.0,20.0,22.0,0.0,0.0
2022-01-01 09:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0
2022-01-01 10:00:00,0.0,0.0,19.933656126482212,15.0,15.0,,0.0,0.0
2022-01-01 10:30:00,0.0,0.0,19.875747160555544,15.0,15.0,,0.0,0.0
2022-01-01 11:00:00,0.0,0.0,19.825343044027218,15.0,15.0,,0.0,0.0
2022-01-01 11:30:00,0.0,0.0,19.782631466430058,15.0,15.0,,0.0,0.0
2022-01-01 12:00:00,0.0,0.0,19.76147378105737,15.0,15.0,,0.0,0.0
2022-01-01 12:30:00,0.0,0.0,19.759677649266173,15.0,15.0,,0.0,0.0
2022-01-01 13:00:00,0.0,0.0,19.760274356982386,15.0,15.0,,0.0,0.0
2022-01-01 13:30:00,0.0,0.0,19.764065570140698,15.0,15.0,,0.0,0.0
2022-01-01 14:00:00,0.0,0.0,19.756250563380135,15.0,15.0,,0.0,0.0
2022-01-01 14:30:00,0.0,0.0,19.736413600177997,15.0,15.0,,0.0,0.0
2022-01-01 15:00:00,2558.4701582536845,0.0,19.701693280808296,15.0,15.0,,730.991473786767,0.0
2022-01-01 15:30:00,7000.0,0.0,19.805060761169482,15.0,15.0,,2000.0,0.0
2022-01-01 16:00:00,7000.0,0.0,20.15304423040463,15.0,15.0,,2000.0,0.0
2022-01-01 16:30:00,7000.0,0.0,20.47913461502434,15.0,15.0,,2000.0,0.0
2022-01-01 17:00:00,0.0,0.0,20.797208117612985,21.0,20.0,22.0,0.0,0.0
2022-01-01 17:30:00,0.0,0.0,20.690126598431803,21.0,20.0,22.0,0.0,0.0
2022-01-01 18:00:00,0.0,0.0,20.578385966829845,21.0,20.0,22.0,0.0,0.0
